5,62,254
1,80,200
1,83,612
7,92,444
1,100,392
8,111,290
1,112,30
8,152,362
1,182,640
1,200,399
8,222,111
5,230,500
7,231,532
1,284,345
1,359,200
8,423,271
8,438,630
8,493,10
2,500,320
1,520,512
1,570,437
6,609,300
1,610,521
8,630,351
8,666,111
6,683,421
8,732,421
1,747,217
1,800,400
7,804,21
7,873,98
8,893,563
1,932,632
1,980,625
1,1002,391
1,1023,273
1,1083,73
1,1100,123
1,1265,73
1,1290,590
1,1389,333
8,1398,493
1,1423,472
1,1479,190
8,1532,234
7,1562,274
1,1632,200
1,1673,43
1,1732,632
8,1763,532
1,1803,100
1,1870,234
1,2000,293
2,2000,250
1,2043,351
1,2199,0
1,2222,233
1,2281,52
1,2341,221
6,2370,321
1,2412,152
1,2529,38
1,2539,631
1,2591,61
1,2640,462
1,2644,351
1,2704,209
1,2742,427
1,2763,562
1,2900,361
1,2908,412
0,3300,0
